video,Incident window start frame,Incident Detection,Crash Severity,Ego-car involved,Label,Number of Bicyclists/Scooters,Number of animals involved,Number of pedestrians involved,Number of vehicles involved (excluding ego-car),Caption Before Incident,Reason of Incident
0,389,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car approaches a crosswalk with vehicles stopped ahead at a red light.,"A vehicle cuts in from the right lane, forcing a sudden lane change by ego-car."
1,1,0,0. No Crash,0,pedestrian on the road,0,0,2,0,Ego-car approaches tunnel entrance with two pedestrians on the right roadside.,Pedestrians walk along the right roadside; one steps onto the lane as ego-car approaches.
2,446,0,0. No Crash,0,vehicle overtakes,0,0,0,2,Ego-car follows a car ahead with a red truck on the right lane.,"The red truck's rear wheels kick up dust, causing sudden visibility loss."
3,141,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,1,0,0,2,A gray car turns left at an intersection while a red truck waits.,A motorcycle collides with a red truck at the intersection.
4,41,0,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a dark road with oncoming traffic and buildings right.,Unknown hazard: sudden smoke or fog ahead on the road.
5,61,0,0. No Crash,0,animal on the road,0,2,1,0,Ego-car drives past buildings and oncoming vehicles on a multi-lane road.,A pedestrian with two dogs steps onto the road from the left sidewalk.
6,111,0,0. No Crash,0,unknown,0,0,0,1,Ego-car follows multiple vehicles on a two-lane highway with clear weather.,Rockfall from the left hillside creates debris on the road ahead.
7,121,1,6. One or Multiple vehicles collided but ego-car is fine,0,car flipped over,0,0,0,1,Ego-car drives on a wet highway with a blue truck ahead in the left lane.,The blue truck loses stability and overturns onto its side on the highway.
8,171,1,3. Ego-car collided with at-least one person or cyclist,1,ego-car hits a crossing cyclist,1,0,0,0,Ego-car approaches intersection with a cyclist ahead in the same lane.,Cyclist loses balance and falls forward onto the road surface.
9,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a city road with multiple traffic lights and buildings.,No anomaly or incident observed in the provided frames.
10,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a city road with traffic lights and crosswalks.,No incident observed in the provided frames.
11,91,0,0. No Crash,0,flying object hit the car,0,0,0,0,Ego-car drives on a road with a yellow school bus on the left.,"Sudden windshield obstruction with blurred visibility, no collision."
12,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car approaches a roundabout with pedestrians and a van on the road.,No incident observed; traffic and pedestrians move normally at roundabout.
13,301,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car follows a white SUV in heavy traffic with trucks ahead.,"A black truck collides with a red truck, causing cargo to spill."
14,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a multi-lane highway under an overpass with moderate traffic.,No incident observed in the provided frames.
15,453,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car follows traffic on a multi-lane road with streetlights and oncoming vehicles.,A vehicle ahead suddenly stops with red brake lights in the same lane.
16,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car travels on a road with clear sky and trees ahead.,No incident observed in the provided frames.
17,41,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car drives on highway with black car alongside in adjacent lane.,"Black car moves toward barrier and shatters, debris flies while ego-car continues."
18,171,1,4. Other cars collided with person/car/object but ego-car is ok,0,bicycle on road,1,0,0,1,Ego-car drives on a city road with a tricycle ahead.,A pedestrian steps into the road causing a tricycle to fall over.
19,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car approaches an intersection with multiple vehicles ahead in lanes.,No incident observed; traffic moves normally through the intersection.
20,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives through an intersection with moderate traffic and streetlights.,No incident observed in the provided frames.
21,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car approaches a roundabout with a pedestrian crossing the road ahead.,No incident occurs; pedestrian safely crosses as ego-car slows.
22,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car follows a car on a clear city road with green traffic lights.,No incident observed in the sequence; normal driving through intersection.
23,81,0,0. No Crash,0,pedestrian is crossing the street,1,0,1,0,Ego-car follows a van at an intersection with pedestrians crossing ahead.,A pedestrian crosses the street while vehicles wait at the intersection.
24,241,1,4. Other cars collided with person/car/object but ego-car is ok,0,many cars/pedestrians/cyclists collided,1,0,1,3,Ego-car follows a van on a wet city road with moderate traffic.,A pedestrian with umbrella falls from motorcycle on the right curb.
25,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a city road with moderate traffic at night.,No incident detected in the provided frames.
26,315,0,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a dark urban road with construction on the right.,Bright construction lights and equipment on the right side create a hazard.
27,151,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,1,0,0,2,Ego-car follows a white SUV at an intersection with multiple vehicles and a motorcycle ahead.,"A motorcycle cuts in front of a van and collides with it, falling on the road."
28,61,0,0. No Crash,0,vehicle overtakes,1,0,0,1,Ego-car follows a motorcycle on a city road with no oncoming traffic.,A vehicle cuts in from the left lane and nearly collides with the motorcycle.
29,111,0,0. No Crash,0,unknown,0,0,0,0,Ego-car follows a truck on a multi-lane highway at night with steady traffic ahead.,The truck ahead swerves left and drops debris onto the road.
30,41,0,0. No Crash,0,animal on the road,0,1,0,1,Ego-car travels on a rural road with a distant vehicle ahead.,A wild animal runs onto the road and crosses in front of the ego-car.
31,95,0,0. No Crash,0,vehicle overtakes,0,0,0,0,Ego-car approaches an intersection with green traffic lights and clear lanes.,Traffic lights turn red; ego-car continues through the intersection.
32,101,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a dark rural road with clear lanes and no visible hazards.,No incident observed; road remains clear with stable driving conditions.
33,41,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car drives on a wet city road with two cars ahead in the same lane.,"A vehicle cuts in from the left lane, causing a near-miss with the ego-car."
34,31,0,0. No Crash,0,pedestrian is crossing the street,0,0,1,0,Ego-car drives on a residential road with parked vehicles and a child on the sidewalk.,A child runs into the street from the right sidewalk toward the ego-car.
35,61,0,0. No Crash,0,animal on the road,0,1,0,0,Ego-car drives on a multi-lane road with oncoming traffic and streetlights.,"A deer runs onto the road ahead, causing the ego-car to brake."
36,71,0,0. No Crash,0,ego-car hits a pedestrian,1,0,1,0,Ego-car approaches a pedestrian crossing the road ahead.,A pedestrian crosses the road and a bicycle cuts in front of the ego-car.
37,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car approaches an intersection with multiple vehicles stopped at red lights.,No incident observed in the provided frames.
38,111,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car follows a truck and a car on a multi-lane road with clear weather.,Truck emits large dust cloud that engulfs the road ahead.
39,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives under an overpass on a city road with parked vehicles.,No anomaly or incident observed in the sequence.
40,101,0,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a highway with clear lanes and distant oncoming traffic.,Sudden dense fog or smoke engulfs the road ahead during night driving.
41,81,1,4. Other cars collided with person/car/object but ego-car is ok,0,many cars/pedestrians/cyclists collided,2,0,1,3,Ego-car approaches crosswalk with taxi ahead and pedestrians on the right.,A motorcycle enters the crosswalk and collides with a pedestrian.
42,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a highway with light traffic and clear lanes ahead.,No incident or anomaly visible in the provided frames.
43,11,0,0. No Crash,0,vehicle overtakes,0,0,0,2,Ego-car follows red car and blue truck on wet city road.,"A large truck cuts into the left lane, forcing the beige truck to swerve."
44,1,0,0. No Crash,0,animal on the road,0,11,0,0,Ego-car drives on a tree-lined road with a motorcyclist on the left.,"A flock of geese crosses the road ahead, blocking the ego-car's path."
45,41,0,0. No Crash,0,bicycle on road,1,0,0,1,Ego-car follows a truck in a tunnel with a cyclist ahead on the right.,"Cyclist moves left into the ego-car's lane, causing a near-miss."
46,19,0,0. No Crash,0,animal on the road,0,1,0,0,Ego-car drives on a tree-lined residential road with clear lanes ahead.,"A small animal crosses the road ahead, causing potential evasive action."
47,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car stops at a red light at a city intersection with crosswalks.,No anomaly or incident observed in the provided frames.
48,21,1,4. Other cars collided with person/car/object but ego-car is ok,0,many cars/pedestrians/cyclists collided,2,0,0,2,Ego-car approaches intersection with red light; cars and a tricycle wait in left lane.,A tricycle cuts in from left lane into ego-car's path at intersection.
49,101,0,0. No Crash,0,animal on the road,0,1,0,0,Ego-car drives on a wet highway with no immediate hazards visible.,A moose runs onto the road from the right and crosses in front of the ego-car.
50,31,0,0. No Crash,0,scooter on the road,1,0,1,0,Ego-car approaches intersection with green traffic light and vehicles ahead.,A pedestrian falls on the sidewalk and a scooter enters the lane.
51,41,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car approaches intersection with oncoming car turning left across lanes.,"Oncoming car turns left without yielding, collides with another vehicle."
52,51,0,0. No Crash,0,vehicle overtakes,1,0,1,3,Ego-car follows a motorcycle and a pickup truck at an intersection with green traffic lights.,The pickup truck moves left while a pedestrian crosses the street on the right.
53,21,0,0. No Crash,0,vehicle overtakes,0,0,0,2,Ego-car follows two trucks on a highway with clear lanes.,A white SUV merges right too closely to the ego-car.
54,41,0,0. No Crash,0,bicycle on road,1,0,0,0,Ego-car drives on a tree-lined road with a bicycle ahead on the left.,A bicycle moves into the ego-car's lane from the left sidewalk.
55,131,1,4. Other cars collided with person/car/object but ego-car is ok,0,many cars/pedestrians/cyclists collided,2,0,0,1,Ego-car approaches intersection with bicycles and vehicles waiting at green light.,"A bicycle cuts in front of another bicycle, causing a collision."
56,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car travels on a clear road with traffic lights and utility poles.,No incident observed in the provided frames.
57,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a dark road with clear lanes and a stop sign ahead.,No incident observed in the provided frames; road remains clear.
58,147,0,0. No Crash,0,vehicle drives into another vehicle,0,0,0,2,Ego-car follows traffic on a multi-lane road at night with streetlights.,A large vehicle moves into the ego-car's lane from the left without collision.
59,229,0,0. No Crash,0,animal on the road,0,4,0,0,Ego-car approaches a group of animals on a rural road.,Animals are crossing the road ahead of the ego-car.
