"video","Incident window start frame","Incident Detection","Crash Severity","Ego-car involved","Label","Number of Bicyclists/Scooters","Number of animals involved","Number of pedestrians involved","Number of vehicles involved (excluding ego-car)","Caption Before Incident","Reason of Incident"
0,389,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"Ego-car approaches an intersection with a crosswalk and parked vehicles on both sides.","A vehicle in the right lane moves into the ego-car's path, prompting an abrupt lane change."
1,1,0,"0. No Crash",0,"pedestrian on the road",0,0,2,0,"Ego-car approaches tunnel entrance with pedestrians on the right roadside.","Pedestrians walk on the right roadside near the tunnel entrance, and one steps onto the lane as the ego-car approaches."
2,402,0,"0. No Crash",0,"vehicle overtakes",0,0,0,0,"Ego-car follows a silver car on a highway with a red truck on the right lane.","The red truck's rear tires kick up dust, reducing visibility for the ego-car."
3,141,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",1,0,1,2,"Ego-car drives through an intersection while a red truck waits on the right.","A motorcycle crosses the intersection and collides with the red truck's front corner."
4,423,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"Ego-car follows a white car in the right lane on a dark road with oncoming traffic ahead.","A vehicle from the left lane overtakes the ego car and merges ahead in the same lane, reducing the distance and increasing collision risk."
5,69,0,"0. No Crash",0,"animal on the road",0,1,1,0,"Ego-car approaches a pedestrian walking two dogs on the left sidewalk near a road.","A dog darts from the left sidewalk into the road, causing the ego-car to perform an evasive maneuver."
6,109,0,"0. No Crash",0,"unknown",0,0,0,1,"Ego-car follows a red SUV and a gray van on a two-lane mountain road.","Rockfall from the left hillside deposits debris onto the road, causing the ego-car and following vehicles to slow down."
7,121,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"car flipped over",0,0,0,1,"Ego-car drives on a wet highway with a blue truck ahead in the left lane.","The blue truck swerves left on the wet road surface, loses stability, and rolls over onto its side, blocking the left lane with its cargo."
8,171,1,"3. Ego-car collided with at-least one person or cyclist",0,"ego-car hits a crossing cyclist",1,0,0,0,"Ego-car approaches an intersection with a cyclist in a yellow jacket ahead in the same lane.","The cyclist in a yellow jacket loses balance and falls onto the road surface directly in the ego-car's path."
9,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives through an urban intersection with traffic lights and buildings.","No incident or anomaly is present; the ego-car is operating normally in urban traffic with visible traffic signals and surrounding infrastructure."
