"video","Incident window start frame","Incident Detection","Crash Severity","Ego-car involved","Label","Number of Bicyclists/Scooters","Number of animals involved","Number of pedestrians involved","Number of vehicles involved (excluding ego-car)","Caption Before Incident","Reason of Incident"
0,411,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"Ego-car approaches an intersection with crosswalk and parked cars on both sides.","A vehicle cuts in from the right lane ahead, causing sudden traffic disruption."
1,1,0,"0. No Crash",0,"pedestrian on the road",0,0,2,0,"Ego-car approaches tunnel entrance with two pedestrians on the right lane.","Pedestrians walk on the right lane ahead, forcing ego-car to avoid them."
2,402,0,"0. No Crash",0,"vehicle overtakes",0,0,0,2,"Ego-car follows a silver car ahead with a red truck on the right lane.","A red truck on the right lane kicks up dust, reducing visibility."
3,151,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",1,0,0,2,"A gray car turns left at an intersection while a red truck waits on the right.","A motorcycle crosses the intersection and collides with a red truck."
4,423,0,"0. No Crash",0,"vehicle overtakes",0,0,0,2,"Ego-car drives behind a vehicle with oncoming traffic visible ahead.","A vehicle cuts in from the left lane into ego-car's path."
5,71,0,"0. No Crash",0,"animal on the road",0,2,1,0,"Ego-car approaches a pedestrian walking two dogs on the left sidewalk.","A dog runs into the road from the sidewalk, causing an evasive maneuver."
6,121,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",0,0,0,2,"Ego-car follows a red SUV and a gray van on a two-lane mountain road.","Rockfall from the left hillside hits the road and nearby vehicles."
7,121,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"car flipped over",0,0,0,1,"Ego-car drives on a wet highway with a blue truck ahead in the left lane.","The blue truck loses control and rolls over on the wet road surface."
8,171,1,"3. Ego-car collided with at-least one person or cyclist",1,"ego-car hits a crossing cyclist",1,0,0,0,"A cyclist in a yellow jacket rides ahead at an intersection with multiple vehicles.","The cyclist loses balance and falls onto the road surface."
9,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives through an urban intersection with traffic lights and buildings.","No anomaly or incident observed in the sequence of frames."
10,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car stops at a red light at an intersection with crosswalks.","No incident observed in the provided frames."
11,91,0,"0. No Crash",0,"flying object hit the car",0,0,0,0,"Ego-car drives on a road with a yellow school bus on the left.","Sudden windshield obstruction with blurred vision and distortion."
