video,Incident window start frame,Incident Detection,Crash Severity,Ego-car involved,Label,Number of Bicyclists/Scooters,Number of animals involved,Number of pedestrians involved,Number of vehicles involved (excluding ego-car),Caption Before Incident,Reason of Incident
0,431,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car approaches intersection with crosswalk and oncoming traffic visible.,A van cuts in from the right lane ahead of ego-car.
1,1,0,0. No Crash,0,pedestrian on the road,0,0,2,0,Ego-car approaches tunnel entrance with pedestrians on the right roadside.,Pedestrians walk on the right roadside near tunnel entrance causing potential hazard.
2,404,0,0. No Crash,0,vehicle overtakes,0,0,0,0,Ego-car follows a car ahead on a highway with a truck on the right lane.,"Truck on right lane emits dust and debris, reducing visibility and causing hazardous conditions."
3,151,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,1,0,1,2,A gray car turns left at an intersection with a red truck stopped.,A pedestrian and motorcycle collide near the red truck at the intersection.
4,423,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car follows a vehicle ahead on a two-lane road at night.,A vehicle overtakes from the left lane and merges ahead.
5,73,0,0. No Crash,0,animal on the road,0,1,1,0,Ego-car drives on a city road with a pedestrian and dog on the left sidewalk.,A dog runs onto the road from the sidewalk causing a near-miss with the ego-car.
6,109,0,0. No Crash,0,unknown,0,0,0,1,Ego-car follows a red SUV and gray van on a mountain road with light traffic.,"A landslide from the left hillside sends debris onto the road, forcing vehicles to slow."
7,123,1,6. One or Multiple vehicles collided but ego-car is fine,0,car flipped over,0,0,0,1,Ego-car follows a blue truck and a car on a multi-lane highway.,The blue truck veers left and rolls over onto its side.
8,167,1,3. Ego-car collided with at-least one person or cyclist,0,ego-car hits a crossing cyclist,1,0,0,0,Ego-car approaches intersection with elderly cyclist ahead in same lane.,Elderly cyclist loses balance and falls directly in ego-car's path.
9,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a city road at night with traffic lights ahead.,No incident observed in the provided frames.
10,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car stops at a red light at an intersection with crosswalks.,No incident observed; traffic remains stationary at red light.
11,87,1,6. One or Multiple vehicles collided but ego-car is fine,0,flying object hit the car,0,0,0,1,Ego-car approaches a yellow school bus on a two-lane road.,"School bus stops and deploys stop sign, causing sudden debris impact on ego-car windshield."
12,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car approaches a roundabout with pedestrians crossing and bicycles waiting.,No incident observed; traffic and pedestrians move normally through the roundabout.
13,296,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car follows a white SUV in heavy traffic on a multi-lane road.,"A truck's rear door opens, causing debris to spill and collide with the white SUV."
14,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a multi-lane highway under an overpass with moderate traffic.,No incident observed; traffic flows normally throughout the sequence.
15,453,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car follows traffic on a multi-lane road with streetlights and oncoming vehicles.,A vehicle ahead suddenly stops with red brake lights in the same lane.
16,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a rural road with clear skies and trees.,No anomaly or incident visible in the provided frames.
17,35,1,1. Ego-car collided but did not stop,1,flying object hit the car,0,0,0,0,Ego-car drives on highway with vehicles ahead in multiple lanes.,"A large object flies toward ego-car, shattering the windshield."
18,173,1,4. Other cars collided with person/car/object but ego-car is ok,0,many cars/pedestrians/cyclists collided,2,0,0,2,Ego-car follows a tricycle and a cart on a city road.,A tricycle loses balance and falls onto the road ahead.
19,109,0,0. No Crash,0,vehicle drives into another vehicle,0,0,0,2,Ego-car follows three vehicles at an intersection with green traffic light.,A white oncoming car cuts into the ego-car's lane at the intersection.
20,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a city road with parked cars and oncoming traffic.,No incident observed; normal driving conditions with no anomalies.
21,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car approaches a roundabout with a pedestrian crossing the road ahead.,No incident observed; pedestrian safely crosses in front of ego-car.
22,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car follows a car on a clear city road with green traffic lights.,No incident observed; normal driving through an intersection with green lights.
23,81,0,0. No Crash,0,scooter on the road,1,0,1,1,Ego-car follows a van at an intersection with pedestrians crossing ahead.,"A blue truck overturns at the intersection, spilling debris across the road."
24,243,1,4. Other cars collided with person/car/object but ego-car is ok,0,many cars/pedestrians/cyclists collided,1,0,1,2,Ego-car follows a van on a wet city road with mixed traffic.,A pedestrian with umbrella steps into the road and falls near the curb.
25,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car approaches an intersection with green traffic lights and multiple vehicles ahead.,No incident observed; traffic flows normally through the intersection.
26,357,0,0. No Crash,0,unknown,0,0,0,0,Ego-car approaches an intersection with a stop sign visible ahead.,"A bright light from construction equipment causes sudden glare, obscuring the road."
27,161,1,4. Other cars collided with person/car/object but ego-car is ok,0,many cars/pedestrians/cyclists collided,1,0,0,2,Ego-car follows a white SUV at an intersection with traffic lights.,A motorcycle cuts in front of the white SUV and falls on the road.
28,61,0,0. No Crash,0,vehicle overtakes,1,0,0,1,Ego-car follows a motorcycle on a city road with no oncoming traffic.,A vehicle cuts in from the left lane and nearly collides with the motorcycle.
29,117,0,0. No Crash,0,flying object hit the car,0,0,0,1,Ego-car follows a truck and other vehicles on a dark highway.,A large object flies from the truck bed across the road.
30,139,0,0. No Crash,0,animal on the road,0,5,0,0,Ego-car drives on a rural road with clear lanes and distant vehicles ahead.,"Wild boars cross the road from both sides, forcing the ego-car to slow down."
31,95,0,0. No Crash,0,vehicle overtakes,0,0,0,0,Ego-car approaches an intersection with green traffic lights and clear lanes.,Traffic lights turn red; ego-car continues through the intersection.
32,121,0,0. No Crash,0,animal on the road,0,1,0,0,Ego-car drives on a dark rural road with clear lane markings and streetlight ahead.,A small animal crosses from left to right on the road.
33,41,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car drives on a wet city road with two cars ahead in the same lane.,"A vehicle cuts in from the left lane, causing a near-miss with the ego-car."
34,30,0,0. No Crash,0,pedestrian is crossing the street,0,0,1,0,Ego-car drives on a residential street with parked vehicles and a pedestrian on the sidewalk.,A child runs into the road from the right sidewalk toward the ego-car.
35,57,0,0. No Crash,1,animal on the road,0,1,0,0,Ego-car drives at 73 km/h on a multi-lane road with oncoming traffic.,"A deer crosses the road ahead, causing the ego-car to brake sharply."
