video,Incident window start frame,Incident Detection,Crash Severity,Ego-car involved,Label,Number of Bicyclists/Scooters,Number of animals involved,Number of pedestrians involved,Number of vehicles involved (excluding ego-car),Caption Before Incident,Reason of Incident
0,407,0,0. No Crash,0,pedestrian is crossing the street,0,0,2,0,Ego-car drives on a city road with parked cars and a crosswalk ahead.,Pedestrians cross the crosswalk as the ego-car approaches.
1,1,0,0. No Crash,0,pedestrian on the road,0,0,2,0,Ego-car drives toward a tunnel with pedestrians on the right roadside.,unknown hazard: pedestrians on road shoulder
2,410,0,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a highway with a red truck on the right and a silver car ahead.,"The truck's cargo sheds debris, creating a hazard."
3,161,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,1,0,0,2,"Ego-car at intersection with gray car, red truck, and motorcycle nearby.",A motorcycle collides with a red truck at the intersection.
4,393,0,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a dark road at night with a car ahead and a car on the right.,"A car on the right stops, creating a hazard for the ego-car."
5,61,0,0. No Crash,0,pedestrian on the road,0,1,1,0,Ego-car drives on a road with houses on the left and vehicles ahead.,"A pedestrian with a dog walks near the road edge, creating a hazard."
6,111,0,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a two-lane road with vehicles ahead; dust rises from the left mountain.,"Debris falls from the left mountain onto the road, creating a hazard."
7,151,1,6. One or Multiple vehicles collided but ego-car is fine,0,car flipped over,0,0,0,1,Ego-car drives on a highway with a blue truck in the left lane and other vehicles ahead.,The blue truck loses control and overturns on the highway.
8,171,0,0. No Crash,0,bicycle on road,1,0,0,0,Ego-car follows a man on a bicycle on a city road with other vehicles nearby.,"The bicycle loses balance, causing the rider to fall forward onto the road."
9,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a night road with streetlights and traffic lights visible.,unknown hazard: no visible evidence of anomaly or incident.
10,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a city road with a white car in the right lane approaching an intersection with red traffic lights.,No incident observed; traffic flows normally.
11,91,0,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a road with a school bus on the left and other vehicles ahead.,unknown hazard: windshield becomes obscured by unknown substance/impact
12,41,0,0. No Crash,0,pedestrian on the road,0,0,2,0,Ego-car approaches an intersection in a caravan park with a white van and pedestrians near the roadside.,Pedestrians enter the road ahead of oncoming traffic.
13,301,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,"Ego-car drives in the left lane, following a white SUV, with trucks on the right and other vehicles ahead.","A red truck collides with a black truck ahead, causing debris to fall and vehicle damage."
14,1,-1,0. No Crash,0,unknown,0,0,0,0,"Ego-car drives on a highway with a silver SUV and a truck ahead, approaching an underpass.",unknown hazard: no visible anomaly or incident in the sequence
15,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a highway at night with other vehicles ahead and oncoming traffic.,No incident observed; traffic flows normally.
16,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a road with a clear blue sky and trees on the right.,unknown hazard: no visible traffic or anomalies in frames
17,41,1,1. Ego-car collided but did not stop,1,vehicle hits ego-car,0,0,0,1,Ego-car drives on a highway with a black car on the right and other vehicles ahead.,"A black car moves into the ego-car's path, collides, and shatters the windshield."
18,181,0,0. No Crash,0,pedestrian on the road,0,0,1,0,Ego-car drives on a city road with tricycles and other vehicles ahead.,"A pedestrian falls into the road, creating a hazard."
19,13,0,0. No Crash,0,vehicle overtakes,0,0,0,0,Ego-car waits at an intersection with three vehicles stopped ahead and to the right.,"A car on the right begins moving forward, creating a merging hazard."
20,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a road during dusk with other vehicles ahead and streetlights illuminating the scene.,unknown hazard: no visible anomalies or incidents in the frames
21,21,0,0. No Crash,0,pedestrian is crossing the street,0,0,1,0,Ego-car drives on a road with a van on the right.,A pedestrian crosses the road in front of the ego-car.
22,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car approaches an intersection with red traffic lights and other vehicles waiting.,unknown hazard: no visible incident or anomaly
23,91,0,0. No Crash,0,car flipped over,0,0,0,1,Ego-car approaches an intersection with a van ahead and other vehicles in the background.,A blue truck overturns and scatters debris on the road.
