"video","Incident window start frame","Incident Detection","Crash Severity","Ego-car involved","Label","Number of Bicyclists/Scooters","Number of animals involved","Number of pedestrians involved","Number of vehicles involved (excluding ego-car)","Caption Before Incident","Reason of Incident"
0,415,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"Ego-car approaches an intersection with crosswalk and parked vehicles on both sides.","A vehicle cuts in from the right lane, forcing an abrupt lane change."
1,1,0,"0. No Crash",0,"pedestrian on the road",0,0,2,0,"Ego-car approaches a tunnel with pedestrians on the right roadside.","Pedestrians walk along the right roadside near the tunnel entrance."
2,404,0,"0. No Crash",0,"vehicle overtakes",0,0,0,2,"Ego-car follows a silver car on highway with red truck on the right lane.","Truck's rear tires kick up dust; possible sudden lane change by red truck."
3,149,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",1,0,0,2,"A gray car drives through an intersection with a red truck stopped on the right.","A pedestrian crosses the road and collides with a red truck at the intersection."
4,425,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"Ego-car follows a car on the right with oncoming traffic ahead.","A car overtakes from the right lane and merges ahead of ego-car."
5,69,0,"0. No Crash",0,"animal on the road",0,1,1,0,"Ego-car approaches an intersection with a pedestrian and dog on the left sidewalk.","A dog on a leash runs into the road as the pedestrian tries to stop it."
6,119,0,"0. No Crash",0,"flying object hit the car",0,0,0,3,"Ego-car follows a van and SUV on a mountain road with clear traffic.","Rockfall from the left hillside creates debris and smoke on the road."
7,155,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"car flipped over",0,0,0,1,"Ego-car drives on a multi-lane highway with a blue truck ahead.","Blue truck loses balance and tips over onto its side."
8,173,1,"3. Ego-car collided with at-least one person or cyclist",1,"ego-car hits a pedestrian",0,0,1,0,"Ego-car approaches intersection with vehicles and bicycles waiting at traffic light.","A pedestrian falls onto the hood of the ego-car at the intersection."
9,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a city road with traffic lights and buildings.","No anomaly or incident observed in the provided frames."
10,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car stops at red light with oncoming traffic visible.","No incident observed in the provided frames."
11,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives through a residential area with parked cars and utility poles visible.","No anomaly or incident observed in the provided frames."
12,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car approaches a roundabout with bicycles and vehicles on the road.","No incident detected in the provided frames."
13,289,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",0,0,0,2,"Ego-car follows a white SUV in heavy highway traffic with multiple trucks.","A black truck collides with a red truck, causing cargo to spill and shift."
14,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a highway under an overpass with multiple vehicles ahead.","No incident observed in the provided frames."
15,455,0,"0. No Crash",0,"vehicle overtakes",0,0,0,0,"Ego-car follows traffic on a multi-lane road with illuminated streetlights and vehicle headlights.","A vehicle ahead applies brakes suddenly, causing red brake lights to illuminate across multiple lanes."
16,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car travels on a rural road with clear skies and trees.","No incident observed in the provided frames."
17,36,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"flying object hit the car",0,0,0,1,"Ego-car drives on highway with multiple vehicles ahead in same lane.","A flying object hit the car causing sudden debris on the road."
18,173,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"many cars/pedestrians/cyclists collided",1,0,0,1,"Ego-car approaches a tricycle on the left side of a city road.","The tricycle on the left loses balance and falls onto the road."
19,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car approaches intersection with multiple vehicles in adjacent lanes.","No incident observed; traffic proceeds normally through the intersection."
