"video","Incident window start frame","Incident Detection","Crash Severity","Ego-car involved","Label","Number of Bicyclists/Scooters","Number of animals involved","Number of pedestrians involved","Number of vehicles involved (excluding ego-car)","Caption Before Incident","Reason of Incident"
0,411,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"The ego-car approaches a crosswalk with oncoming traffic and parked cars on both sides.","A white van from the left crosses the ego-car's path and forces a lane change."
1,1,0,"0. No Crash",0,"pedestrian on the road",0,0,2,0,"The ego-car approaches a tunnel entrance with two pedestrians on the right sidewalk.","Two pedestrians walk on the right sidewalk ahead near the tunnel entrance with no collision."
2,402,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"vehicle drives into another vehicle",0,0,0,2,"The ego-car follows a silver car beside a red truck on a highway with clear lanes.","The red truck suddenly swerves right, kicking up dust and blocking the ego-car's lane."
3,141,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",1,0,0,2,"The gray car drives through the intersection while the red truck waits at the traffic light.","A motorcycle crosses the intersection and collides with the red truck's front corner."
4,423,0,"0. No Crash",0,"vehicle overtakes",0,0,0,2,"The ego-car follows a white car in the right lane on a dark road with oncoming traffic.","A car from the left lane overtakes the ego-car and moves ahead in the same lane."
5,71,0,"0. No Crash",0,"animal on the road",0,2,1,0,"The ego-car drives past a pedestrian walking two white dogs on the sidewalk near a yellow house.","A white dog darts into the road from the left, causing the ego-car to swerve right."
6,121,0,"0. No Crash",0,"unknown",0,0,0,2,"The ego-car follows a red jeep on a two-lane highway with green hills on both sides.","Debris falls from the left hillside onto the road and forces the ego-car to slow down."
7,121,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"car flipped over",0,0,0,1,"The ego-car drives on a wet highway with a blue truck ahead in the left lane.","The blue truck swerves left and tips over, blocking the left lane with its cargo."
8,171,1,"3. Ego-car collided with at-least one person or cyclist",1,"ego-car hits a crossing cyclist",1,0,0,0,"The ego-car approaches an intersection with a cyclist in yellow ahead in the lane.","The cyclist in yellow suddenly leans forward and falls onto the road surface."
9,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car drives through an urban intersection with green traffic lights and oncoming traffic.","No visible incident or anomaly in the sequence of frames; normal urban driving."
